gameId	code	displayName	category	family	regionScope	provinceCode	cityCode	version	enabled	sourceModule
506	nbcxmj	NBCXMJ	MAHJONG	mahjong-standard	PROVINCE	zhejiang		1.0.0	1	NBCXMJ
236	nbmj	NBMJ	MAHJONG	mahjong-lai-zi	PROVINCE	zhejiang		1.0.0	0	NBMJ
534	ncaymj	NCAYMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	1	NCAYMJ
180	ncmj	NCMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	0	NCMJ
12	ndmj	NDMJ	MAHJONG	mahjong-standard	PROVINCE	fujian		1.0.0	1	NDMJ
44	nhmj	NHMJ	MAHJONG	mahjong-standard	PROVINCE	fujian		1.0.0	1	NHMJ
225	njlhmj	NJLHMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	0	NJLHMJ
202	njmj	NJMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	0	NJMJ
286	nkbhmj	NKBHMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	0	NKBHMJ
365	nmgyzmj	NMGYZMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	neimenggu		1.0.0	0	NMGYZMJ
5	nn	NN	POKER	poker-pao-de-kuai	NATIONAL			1.0.0	0	NN
22	npgzmj	NPGZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	fujian		1.0.0	0	NPGZMJ
14	npmj	NPMJ	MAHJONG	mahjong-lai-zi	PROVINCE	fujian		1.0.0	0	NPMJ
519	ntcp	NTCP	MAHJONG	mahjong-lai-zi	PROVINCE	jiangsu		1.0.0	1	NTCP
221	nxkwmj	NXKWMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hunan		1.0.0	0	NXKWMJ
386	nxmj	NXMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	henna		1.0.0	0	NXMJ
134	nykwxmj	NYKWXMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	1	NYKWXMJ
337	nythmj	NYTHMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	NYTHMJ
