module	javaFiles	category	family	evidenceScores
KFMJ	104	MAHJONG	mahjong-standard	MAHJONG:413,POKER:0,LONG_CARD:0,WORD_CARD:0
KLMJ	113	MAHJONG	mahjong-standard	MAHJONG:412,POKER:0,LONG_CARD:0,WORD_CARD:7
KSMJ	99	MAHJONG	mahjong-standard	MAHJONG:354,POKER:0,LONG_CARD:0,WORD_CARD:0
LAMJ	101	MAHJONG	mahjong-standard	MAHJONG:360,POKER:0,LONG_CARD:0,WORD_CARD:0
LBHZMJ	79	MAHJONG	mahjong-standard	MAHJONG:209,POKER:0,LONG_CARD:0,WORD_CARD:0
LBMJ	117	MAHJONG	mahjong-standard	MAHJONG:461,POKER:0,LONG_CARD:0,WORD_CARD:0
LCMJ	114	MAHJONG	mahjong-standard	MAHJONG:398,POKER:0,LONG_CARD:0,WORD_CARD:0
LCZP	118	WORD_CARD	word-card-pao-hu-zi	MAHJONG:2,POKER:201,LONG_CARD:0,WORD_CARD:206
LFPHMJ	104	MAHJONG	mahjong-standard	MAHJONG:392,POKER:0,LONG_CARD:0,WORD_CARD:0
LGMJ	102	MAHJONG	mahjong-standard	MAHJONG:395,POKER:0,LONG_CARD:0,WORD_CARD:0
LHGMMJ	100	MAHJONG	mahjong-standard	MAHJONG:368,POKER:1,LONG_CARD:0,WORD_CARD:0
LHMJ	104	MAHJONG	mahjong-standard	MAHJONG:400,POKER:0,LONG_CARD:0,WORD_CARD:0
LHZP	111	POKER	poker-climbing	MAHJONG:4,POKER:202,LONG_CARD:0,WORD_CARD:204
LJWSK4	130	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:210,LONG_CARD:0,WORD_CARD:0
LKMJ	110	MAHJONG	mahjong-standard	MAHJONG:355,POKER:0,LONG_CARD:0,WORD_CARD:0
LKWSK	112	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:226,LONG_CARD:0,WORD_CARD:0
LLFYMJ	112	MAHJONG	mahjong-standard	MAHJONG:343,POKER:0,LONG_CARD:0,WORD_CARD:1
LNJZMJ	91	MAHJONG	mahjong-lai-zi	MAHJONG:358,POKER:0,LONG_CARD:0,WORD_CARD:0
LNMJ	105	MAHJONG	mahjong-lai-zi	MAHJONG:401,POKER:0,LONG_CARD:0,WORD_CARD:0
LNSYMJ	117	MAHJONG	mahjong-lai-zi	MAHJONG:407,POKER:0,LONG_CARD:0,WORD_CARD:0
LPMJ	100	MAHJONG	mahjong-lai-zi	MAHJONG:397,POKER:0,LONG_CARD:0,WORD_CARD:1
LPPDK	109	POKER	poker-pao-de-kuai	MAHJONG:1,POKER:175,LONG_CARD:0,WORD_CARD:0
LPSMJ	116	MAHJONG	mahjong-standard	MAHJONG:437,POKER:0,LONG_CARD:0,WORD_CARD:0
LPTS	107	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:211,LONG_CARD:0,WORD_CARD:0
LS13579	106	MAHJONG	mahjong-lai-zi	MAHJONG:263,POKER:1,LONG_CARD:0,WORD_CARD:0
LSKJJMJ	125	MAHJONG	mahjong-standard	MAHJONG:446,POKER:0,LONG_CARD:0,WORD_CARD:0
LSLWZMJ	96	MAHJONG	mahjong-lai-zi	MAHJONG:330,POKER:0,LONG_CARD:0,WORD_CARD:0
LSMJ	107	MAHJONG	mahjong-standard	MAHJONG:501,POKER:0,LONG_CARD:0,WORD_CARD:0
LSXZMJ	92	MAHJONG	mahjong-standard	MAHJONG:314,POKER:0,LONG_CARD:0,WORD_CARD:0
LSYJMJ	105	MAHJONG	mahjong-xue-zhan	MAHJONG:551,POKER:2,LONG_CARD:0,WORD_CARD:0
LWMJ	117	MAHJONG	mahjong-lai-zi	MAHJONG:515,POKER:0,LONG_CARD:0,WORD_CARD:0
LXMJ	105	MAHJONG	mahjong-lai-zi	MAHJONG:395,POKER:1,LONG_CARD:0,WORD_CARD:0
LYGCMJ	103	MAHJONG	mahjong-standard	MAHJONG:348,POKER:0,LONG_CARD:0,WORD_CARD:0
LYGMJ	95	MAHJONG	mahjong-standard	MAHJONG:292,POKER:0,LONG_CARD:0,WORD_CARD:0
LYMJ	89	MAHJONG	mahjong-standard	MAHJONG:322,POKER:0,LONG_CARD:0,WORD_CARD:0
LZMJ	102	MAHJONG	mahjong-lai-zi	MAHJONG:411,POKER:0,LONG_CARD:0,WORD_CARD:0
LZXZMJ	102	MAHJONG	mahjong-xue-zhan	MAHJONG:448,POKER:0,LONG_CARD:0,WORD_CARD:0
MASMJ	116	MAHJONG	mahjong-standard	MAHJONG:501,POKER:0,LONG_CARD:0,WORD_CARD:0
MMMJ	99	MAHJONG	mahjong-lai-zi	MAHJONG:400,POKER:0,LONG_CARD:0,WORD_CARD:0
MSMJ	102	MAHJONG	mahjong-xue-zhan	MAHJONG:440,POKER:0,LONG_CARD:0,WORD_CARD:0
MYMJ	102	MAHJONG	mahjong-standard	MAHJONG:540,POKER:0,LONG_CARD:0,WORD_CARD:0
MZMJ	93	MAHJONG	mahjong-standard	MAHJONG:308,POKER:0,LONG_CARD:0,WORD_CARD:0
NAMJ	91	MAHJONG	mahjong-standard	MAHJONG:285,POKER:0,LONG_CARD:0,WORD_CARD:0
NBCXMJ	97	MAHJONG	mahjong-standard	MAHJONG:361,POKER:1,LONG_CARD:0,WORD_CARD:0
NBMJ	102	MAHJONG	mahjong-lai-zi	MAHJONG:437,POKER:1,LONG_CARD:0,WORD_CARD:0
NCAYMJ	101	MAHJONG	mahjong-standard	MAHJONG:350,POKER:1,LONG_CARD:0,WORD_CARD:0
NCMJ	128	MAHJONG	mahjong-lai-zi	MAHJONG:593,POKER:1,LONG_CARD:0,WORD_CARD:0
NDMJ	85	MAHJONG	mahjong-standard	MAHJONG:244,POKER:0,LONG_CARD:0,WORD_CARD:0
NHMJ	83	MAHJONG	mahjong-standard	MAHJONG:271,POKER:0,LONG_CARD:0,WORD_CARD:0
NJLHMJ	105	MAHJONG	mahjong-standard	MAHJONG:497,POKER:0,LONG_CARD:0,WORD_CARD:0
NJMJ	129	MAHJONG	mahjong-standard	MAHJONG:569,POKER:0,LONG_CARD:0,WORD_CARD:0
NKBHMJ	98	MAHJONG	mahjong-standard	MAHJONG:369,POKER:0,LONG_CARD:0,WORD_CARD:0
NMGYZMJ	106	MAHJONG	mahjong-tui-dao-hu	MAHJONG:387,POKER:0,LONG_CARD:0,WORD_CARD:0
NN	111	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:72,LONG_CARD:0,WORD_CARD:0
NPGZMJ	108	MAHJONG	mahjong-lai-zi	MAHJONG:348,POKER:0,LONG_CARD:0,WORD_CARD:0
NPMJ	105	MAHJONG	mahjong-lai-zi	MAHJONG:351,POKER:0,LONG_CARD:0,WORD_CARD:0
NTCP	99	MAHJONG	mahjong-lai-zi	MAHJONG:272,POKER:0,LONG_CARD:143,WORD_CARD:0
NXKWMJ	134	MAHJONG	mahjong-lai-zi	MAHJONG:575,POKER:0,LONG_CARD:0,WORD_CARD:0
NXMJ	107	MAHJONG	mahjong-tui-dao-hu	MAHJONG:300,POKER:0,LONG_CARD:0,WORD_CARD:0
NYKWXMJ	98	MAHJONG	mahjong-standard	MAHJONG:380,POKER:0,LONG_CARD:0,WORD_CARD:0
NYTHMJ	105	MAHJONG	mahjong-standard	MAHJONG:296,POKER:0,LONG_CARD:0,WORD_CARD:0
NYXXMJ	107	MAHJONG	mahjong-standard	MAHJONG:354,POKER:0,LONG_CARD:0,WORD_CARD:0
